id,code,dispName,lat,long
10001,01A,Afognak Lake Airport,58.10944444,-152.90666667
10003,03A,Bear Creek Mining Strip,65.54805556,-161.07166667
10004,04A,Lik Mining Camp,68.08333333,-163.16666667
10005,05A,Little Squaw Airport,67.57,-148.18388889
10006,06A,Kizhuyak Bay,57.74527778,-152.88277778
10007,07A,Klawock Seaplane Base,55.55472222,-133.10166667
10008,08A,Elizabeth Island Airport,59.15694444,-151.82916667
10009,09A,Augustin Island,59.36277778,-153.43055556
10010,1B1,Columbia County,42.29138889,-73.71027778
10011,1G4,Grand Canyon West,35.98611111,-113.81694444
10012,1N7,Blairstown Airport,40.97111111,-74.9975
10013,8F3,Crosbyton Municipal,33.62388889,-101.24083333
10014,A01,Blair Lake,64.36361111,-147.36527778
10015,A02,Deadmans Bay Airport,57.06666667,-153.93777778
10016,A03,Hallo Bay Airport,58.4575,-154.02333333
10017,A04,Red Lake Airport,57.27722222,-154.34222222
10018,A05,Shell Lake Airport,61.96388889,-151.55583333
10019,A06,Navigator Airstrip,65.65555556,-165.35638889
10020,A07,Roland Norton Memorial,66.76611111,-160.15277778
10021,A08,Pillar Bay Airport,56.59805556,-134.24277778
10022,A09,Johnstone Point Airport,60.48166667,-146.58416667
10023,KTH,Tikchik Lodge Airport,59.95555556,-158.48055556
10024,A11,Bell Creek Airport,60.78388889,-159.54027778
10025,A12,Cinnabar Airport,60.78527778,-158.86444444
10026,A13,Mountaintop Mine Airport,61.39027778,-157.99555556
10027,A14,Whitebear Airport,61.18888889,-159.85833333
10028,A15,Puviaq Airport,70.71555556,-154.40694444
10029,A16,Arley Lake Airport,70.74694444,-155.36083333
10030,A17,Port Vita Airport,58.06555556,-153.0725
10031,A18,Kantishna Airport,63.54111111,-150.995
10033,A20,Alpine Airstrip,70.34416667,-150.94472222
10034,A21,Serpentine Airport,65.85138889,-164.70277778
10035,A22,Driftwood Bay Airport,53.97277778,-166.85694444
10036,A23,Bradley Lake Airport,59.77611111,-151.96361111
10037,A24,Chilkat Lake Airport,59.33166667,-135.89666667
10038,A25,Nugget Creek Airport,59.28833333,-136.17388889
10039,A26,Ivotuk Airstrip,68.48333333,-155.73333333
10040,A27,Pogo Mines Airport,64.44,-144.93638889
10041,A28,Ayakulik River Airport,57.25388889,-154.42222222
10042,A29,Kiluda Bay Airport,57.32305556,-153.14944444
10043,A30,Terror Lake Airport,57.96388889,-153.05833333
10044,A31,Selief Bay Airport,58.98277778,-153.18333333
10047,A34,Laura Lake Airport,58.36194444,-152.31222222
10049,A36,Deep Bay Airport,55.56027778,-131.65555556
10050,A37,Kako Airport,61.89888889,-161.43972222
10051,A38,Molly Creek Airport,64.09722222,-143.26666667
10052,A39,Ptarmigan Lake Airport,61.86611111,-141.15972222
10053,A40,Cape Simpson Airport,71.05694444,-154.72833333
10054,A41,Kogru River Airport,70.57472222,-152.25888889
10055,A42,Teshepkuk Lake Airport,70.35833333,-153.19666667
10056,A43,Trident Basin Seaplane Base,57.78083333,-152.39111111
10058,A45,Lake Florence Airport,57.81666667,-134.58333333
10059,A46,Lake Hasselborg Airport,57.7,-134.26666667
10060,A47,Distin Lake Airport,57.61666667,-134.36666667
10061,A48,Port Hobron Airport,57.15,-153.15
10062,A49,Mooseville Airstrip Airport,70.28444444,-152.21194444
10063,A50,Big Bay Airport,58.5625,-152.59611111
10064,A51,Wien Lake Airport,64.35277778,-151.275
10065,A52,Silver Salmon Creek Airport,59.96388889,-152.68222222
10066,A53,Blear Lake Airport,64.33333333,-147.5
10067,A54,Cannery Bay Airport,53.68333333,-166.75
10069,A56,Johnsons Landing,56.03666667,-160.26611111
10070,A57,International Seafoods Airport,58.26666667,-157.53333333
10071,A58,Cosna River Airport,64.5,-151.66666667
10072,A59,Ivatuk Airport,68.48777778,-155.7575
10074,A61,Cape Sarichef Airport,54.5825,-164.91444444
10075,A62,Taylor Mountain,60.86777778,-157.39194444
10076,A63,Coal Creek,65.31166667,-143.13416667
10078,A65,Karluk Portage Airport,57.53833333,-154.16444444
10079,A66,Hope Airport,60.90722222,-149.62277778
10080,A67,Viekoda Bay Airport,57.84944444,-153.11527778
10082,A69,Cathedral Strip,55.74,-162.12527778
10083,A70,Village Islands Airport,57.77416667,-153.54472222
10084,A71,Bear Cove Farm,59.73833333,-151.03
10085,A72,Chinitna Bay Airport,59.83333333,-152.58472222
10086,A73,McKinley National Park,63.7325,-148.91055556
10087,A74,Dog Fish Bay,59.24111111,-151.87722222
10088,A75,Malina Bay Airport,58.17194444,-152.89416667
10089,A76,Red Fox Bay Airport,58.46444444,-152.59305556
10090,A77,Shearwater Airport,57.34333333,-152.89722222
10091,A78,Lake,71.03,-154.44361111
10092,A79,Cape Simpson No. 1,71.50166667,-154.03388889
10093,A80,Cape Simpson No. 7,70.57388889,-155.32138889
10094,A81,Cape Simpson #1,70.66277778,-154.83666667
10095,A82,Nikiski Private Airstrip,60.69027778,-151.28888889
10096,A83,Petrof Point Airport,59.37638889,-150.765
10097,A84,Denali West Lodge Private,63.75555556,-147.93
10098,A85,Big River Airport,61.85944444,-154.27666667
10100,A87,Carry Inlet Airport,58.58305556,-152.44583333
10102,A89,Montague Island Airport,59.925,-147.51666667
10103,A90,Shannon Pond Airport,59.03916667,-158.46388889
10104,A91,Omalik Lagoon Airport,69.15555556,-163.49722222
10105,A92,Omolik Lagoon Airport,69.14805556,-163.51027778
10106,A93,Bradley Lake Project Airport,59.79166667,-151.26666667
10107,A94,Ice Strip,70.57416667,-155.31805556
10108,A95,Ice Strip,70.31194444,-153.24916667
10109,A96,Ice Strip,70.98083333,-157.095
10110,A97,Akulik Air Strip,68.98555556,-163.47972222
10111,A98,Deadfall Air Strip,69.17083333,-163.25638889
10112,A99,Eagle Creek Airport,68.67666667,-162.64694444
10113,AA1,Ice Kong,59.95277778,-162.61694444
10116,AA4,Glacier Split,59.63333333,-151.20833333
10117,AA5,Selby Lake Airport,66.95583333,-155.615
10122,AAF,Apalachicola Regional Cleve Randolph Field,29.72638889,-85.025
10135,ABE,Lehigh Valley International,40.65166667,-75.44277778
10136,ABI,Abilene Regional,32.40833333,-99.6825
10139,ABL,Ambler River,67.0875,-157.84583333
10140,ABQ,Albuquerque International Sunport,35.03805556,-106.61
10141,ABR,Aberdeen Regional,45.44666667,-98.42305556
10146,ABY,Southwest Georgia Regional,31.53555556,-84.19444444
10149,ACB,Antrim County,44.98861111,-85.19833333
10154,ACK,Nantucket Memorial,41.25333333,-70.06055556
10155,ACT,Waco Regional,31.60416667,-97.22972222
10157,ACV,California Redwood Coast Humboldt County,40.97777778,-124.10833333
10158,ACY,Atlantic City International,39.45916667,-74.57861111
10165,ADK,Adak,51.88361111,-176.6425
10167,ADM,Ardmore Municipal,34.30305556,-97.02111111
10170,ADQ,Kodiak Airport,57.74972222,-152.49388889
10171,ADS,Addison,32.96861111,-96.83638889
10172,ADW,Joint Base Andrews,38.81083333,-76.86694444
10176,AED,Aleneva Airport,58.03333333,-152.9
10184,AET,Allakaket Airport,66.55194444,-152.62222222
10185,AEX,Alexandria International,31.32333333,-92.54694444
10189,AFF,USAF Academy Davis Airfield,38.97361111,-104.81972222
10190,AFK,Nebraska City Municipal,40.60666667,-95.86666667
10191,AFO,Afton Lincoln County Gen Boyd L Eddins Field,42.70888889,-110.94222222
10192,AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
10194,AFW,Perot Field Fort Worth Alliance,32.99027778,-97.31944444
10198,AGC,Allegheny County,40.35416667,-79.9275
10204,AGN,Angoon Seaplane Base,57.50388889,-134.58333333
10208,AGS,Augusta Regional at Bush Field,33.37,-81.96444444
10215,AHD,Ardmore Downtown Executive,34.14694444,-97.12277778
10216,AHN,Athens/Ben Epps,33.94861111,-83.32583333
10219,AHT,Amchitka,51.37861111,179.25861111
10221,AIA,Alliance Municipal,42.05361111,-102.80333333
10222,AIB,Anita Bay Airport,56.19,-132.44583333
10223,AID,Anderson Regional,40.10861111,-85.61305556
10224,AIK,Aiken Regional,33.64944444,-81.685
10225,AIN,Wainwright Airport,70.63805556,-159.99472222
10227,AIY,Bader Field,39.36,-74.45722222
10228,AIZ,Lee C Fine Memorial,38.09611111,-92.54944444
10237,AKB,Atka Airport,52.22055556,-174.20611111
10238,AKC,Akron Fulton International,41.0375,-81.46777778
10241,AKI,Akiak Airport,60.90277778,-161.23055556
10243,AKK,Akhiok Airport,56.93861111,-154.1825
10245,AKN,King Salmon Airport,58.67805556,-156.65194444
10246,AKO,Colorado Plains Regional,40.17555556,-103.22194444
10247,AKP,Anaktuvuk Pass Airport,68.13361111,-151.74333333
10253,AL1,Albertville Regional-Thomas J Brumlik Field,34.22916667,-86.25583333
10254,AL2,Shelby County,33.17777778,-86.78333333
10255,AL3,Huntsville Executive Tom Sharp Jr,34.85944444,-86.5575
10257,ALB,Albany International,42.74916667,-73.80472222
10259,ALE,Alpine Casparis Municipal,30.38416667,-103.68361111
10263,ALI,Alice International,27.74083333,-98.02694444
10266,ALM,Alamogordo White Sands Regional,32.83777778,-105.99305556
10267,ALN,St. Louis Regional,38.89416667,-90.05194444
10268,ALO,Waterloo Regional,42.56055556,-92.4025
