AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
01A,Afognak Lake Airport,58.10944444,-152.90666667
03A,Bear Creek Mining Strip,65.54805556,-161.07166667
04A,Lik Mining Camp,68.08333333,-163.16666667
05A,Little Squaw Airport,67.57,-148.18388889
06A,Kizhuyak Bay,57.74527778,-152.88277778
07A,Klawock Seaplane Base,55.55472222,-133.10166667
08A,Elizabeth Island Airport,59.15694444,-151.82916667
09A,Augustin Island,59.36277778,-153.43055556
1B1,Columbia County,42.28888889,-73.71027778
1B1,Columbia County,42.29138889,-73.71027778
1G4,Grand Canyon West,35.99027778,-113.81638889
1G4,Grand Canyon West,35.98611111,-113.81694444
1G4,Grand Canyon West,35.99027778,-113.81638889
1G4,Grand Canyon West,35.98611111,-113.81694444
1N7,Blairstown Airport,40.97111111,-74.9975
8F3,Crosbyton Municipal,33.62388889,-101.24083333
A01,Blair Lake,64.36416667,-147.36138889
A01,Blair Lake,64.36361111,-147.36388889
A01,Blair Lake,64.36361111,-147.36527778
A02,Deadmans Bay Airport,57.06666667,-153.93777778
A03,Hallo Bay Airport,58.4575,-154.02333333
A04,Red Lake Airport,57.27722222,-154.34222222
A05,Shell Lake Airport,61.96388889,-151.55583333
A06,Navigator Airstrip,65.65555556,-165.35638889
A07,Roland Norton Memorial Airstrip,66.76583333,-160.1525
A07,Roland Norton Memorial,66.76611111,-160.15277778
A08,Pillar Bay Airport,56.59805556,-134.24277778
JOH,Johnstone Point Airport,60.48138889,-146.58222222
A09,Johnstone Point Airport,60.48222222,-146.58222222
A09,Johnstone Point Airport,60.48166667,-146.58416667
A09,Johnstone Point Airport,60.48222222,-146.58222222
A09,Johnstone Point Airport,60.48166667,-146.58416667
TLK,Tikchik Lodge Airport,59.95555556,-158.48055556
KTH,Tikchik Lodge Airport,59.95555556,-158.48055556
A11,Bell Creek Airport,60.78388889,-159.54027778
A12,Cinnabar Airport,60.78527778,-158.86444444
A13,Mountaintop Mine Airport,61.39027778,-157.99555556
A14,Whitebear Airport,61.18888889,-159.85833333
A15,Puviaq Airport,70.71861111,-154.38833333
A15,Puviaq Airport,70.71555556,-154.40694444
A16,Arley Lake Airport,70.74694444,-155.36083333
A17,Port Vita Airport,58.06555556,-153.0725
A18,Kantishna Airport,63.54166667,-150.99388889
A18,Kantishna Airport,63.54111111,-150.995
A18,Kantishna Airport,63.54166667,-150.99388889
A18,Kantishna Airport,63.54111111,-150.995
A20,Alpine Airstrip,70.34416667,-150.94472222
A21,Serpentine Airport,65.85138889,-164.70277778
A22,Driftwood Bay Airport,53.97277778,-166.85694444
A23,Bradley Lake Airport,59.77611111,-151.96361111
A24,Chilkat Lake Airport,59.33166667,-135.89666667
A25,Nugget Creek Airport,59.28833333,-136.17388889
A26,Ivotuk Airstrip,68.48333333,-155.73333333
A27,Pogo Mines Airport,64.44,-144.93638889
A28,Ayakulik River Airport,57.25388889,-154.42222222
A29,Kiluda Bay Airport,57.32305556,-153.14944444
A30,Terror Lake Airport,57.96388889,-153.05833333
A31,Selief Bay Airport,58.98277778,-153.18333333
A34,Laura Lake Airport,58.36194444,-152.31222222
A36,Deep Bay Airport,55.56027778,-131.65555556
A37,Kako Airport,61.89888889,-161.43805556
A37,Kako Airport,61.89888889,-161.43972222
A38,Molly Creek Airport,64.09722222,-143.26666667
A39,Ptarmigan Lake Airport,61.86611111,-141.15972222
A40,Cape Simpson Airport,71.05694444,-154.72833333
A41,Kogru River Airport,70.57611111,-152.27111111
A41,Kogru River Airport,70.57472222,-152.25888889
A42,Teshepkuk Lake Airport,70.35833333,-153.19666667
A43,Trident Basin Seaplane Base,57.78083333,-152.39111111
A45,Lake Florence Airport,57.81666667,-134.58333333
A46,Lake Hasselborg Airport,57.7,-134.26666667
A47,Distin Lake Airport,57.61666667,-134.36666667
A48,Port Hobron Airport,57.15,-153.15
A49,Mooseville Airstrip Airport,70.28444444,-152.21194444
A50,Big Bay Airport,58.5625,-152.59611111
A51,Wien Lake Airport,64.35277778,-151.275
A52,Silver Salmon Creek Airport,59.96388889,-152.68222222
A53,Blear Lake Airport,64.33333333,-147.5
A54,Cannery Bay Airport,53.68333333,-166.75
A56,Johnsons Landing,56.03666667,-160.26611111
VZK,International Seafoods Airport,58.26666667,-157.53333333
A57,International Seafoods Airport,58.26666667,-157.53333333
A58,Cosna River Airport,64.5,-151.66666667
A59,Ivatuk Airport,68.48777778,-155.7575
A61,Cape Sarichef AFS,54.58333333,-164.9125
A61,Cape Sarichef Airport,54.5825,-164.91444444
A62,Taylor Mountain,60.86777778,-157.39194444
A63,Coal Creek,65.31111111,-143.13527778
A63,Coal Creek,65.31138889,-143.13555556
A63,Coal Creek,65.31166667,-143.13416667
A63,Coal Creek,65.31138889,-143.13555556
A63,Coal Creek,65.31166667,-143.13416667
A65,Karluk Portage Airport,57.53833333,-154.16444444
A66,Hope Airport,60.90555556,-149.62388889
A66,Hope Airport,60.90416667,-149.62388889
A66,Hope Airport,60.90722222,-149.62277778
A66,Hope Airport,60.90416667,-149.62388889
A66,Hope Airport,60.90722222,-149.62277778
A67,Viekoda Bay Airport,57.84944444,-153.11527778
A69,Cathedral Strip,55.74,-162.12527778
A70,Village Islands Airport,57.77416667,-153.54472222
A71,Bear Cove Farm,59.73833333,-151.03
A72,Chinitna Bay Airport,59.83333333,-152.58472222
A73,McKinley National Park,63.7325,-148.91055556
A74,Dog Fish Bay,59.24111111,-151.87722222
A75,Malina Bay Airport,58.17194444,-152.89416667
A76,Red Fox Bay Airport,58.46444444,-152.59305556
A77,Shearwater Airport,57.34333333,-152.89722222
A78,Lake,71.03,-154.44361111
A79,Cape Simpson No. 1,71.50166667,-154.03388889
A80,Cape Simpson No. 7,70.57388889,-155.32138889
A81,Cape Simpson #1,70.66277778,-154.83666667
A82,Nikiski Private Airstrip,60.69027778,-151.28888889
A83,Petrof Point Airport,59.37638889,-150.765
A84,Denali West Lodge Private,63.75555556,-147.93
A85,Big River Airport,61.85944444,-154.27666667
A87,Carry Inlet Airport,58.58305556,-152.44583333
A89,Montague Island Airport,59.925,-147.51666667
A90,Shannon Pond Airport,59.03916667,-158.46388889
A91,Omalik Lagoon Airport,69.15555556,-163.49722222
A92,Omolik Lagoon Airport,69.14805556,-163.51027778
A93,Bradley Lake Project Airport,59.79166667,-151.26666667
A94,Ice Strip,70.57416667,-155.31805556
A95,Ice Strip,70.31194444,-153.24916667
A96,Ice Strip,70.98083333,-157.095
A97,Akulik Air Strip,68.98555556,-163.47972222
A98,Deadfall Air Strip,69.17083333,-163.25638889
A99,Eagle Creek Airport,68.67666667,-162.64694444
AA1,Ice Kong,59.95277778,-162.61694444
AA4,Glacier Split,59.63333333,-151.20833333
AA5,Selby Lake Airport,66.95583333,-155.615
AAA,Anaa Airport,-17.35388889,-145.50972222
AAA,Anaa Airport,-17.3525,-145.51
AAB,Arrabury Station,-26.7,141.04166667
AAC,El Arish International,31.07638889,33.83333333
AAC,El Arish International,31.07333333,33.83583333
AAC,El Arish International,31.05555556,33.8275
AAC,El Arish International,31.05444444,33.81916667
AAC,El Arish International,31.05555556,33.8275
AAE,Rabah Bitat,36.82166667,7.81
AAE,Rabah Bitat,36.82222222,7.80944444
AAE,Rabah Bitat,36.82944444,7.81388889
AAE,Rabah Bitat,36.82222222,7.80944444
AAF,Apalachicola Regional,29.7275,-85.0275
AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
AAF,Apalachicola Regional,29.7275,-85.0275
AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
AAF,Apalachicola Regional Cleve Randolph Field,29.72638889,-85.025
AAH,Aachen/Merzbruck,50.82305556,6.18611111
AAH,Aachen/Merzbruck,50.82305556,6.18611111
AAH,Aachen/Merzbruck,50.82305556,6.1875
AAH,Aachen Merzbrueck,50.82305556,6.1875
AAH,Aachen Merzbruck,50.82305556,6.1875
AAH,Aachen Merzbrueck,50.82305556,6.1875
AAH,Aachen Merzbrueck,50.82166667,6.18416667
AAI,Arraias Airport,-12.91666667,-46.93333333
AAI,Arraias Airport,-13.025,-46.88416667
AAI,Arraias Airport,-13.02583333,-46.88361111
AAI,Arraias Airport,-13.025,-46.88416667
AAI,Arraias Airport,-13.02583333,-46.88361111
AAL,Aalborg Airport,57.09305556,9.85
AAL,Aalborg Airport,57.09277778,9.84916667
AAL,Aalborg Airport,57.09416667,9.85583333
AAM,Malamala,-24.80833333,31.54166667
AAM,Malamala,-24.81694444,31.54416667
AAN,Al Ain International,24.26166667,55.60916667
AAN,Al Ain International,24.26194444,55.6075
AAN,Al Ain International,24.26166667,55.60916667
AAO,Anaco Airport,9.43194444,-64.46388889
AAO,Anaco Airport,9.43027778,-64.47083333
AAO,Anaco Airport,9.43,-64.47083333
AAO,Anaco Airport,9.43027778,-64.47083333
AAO,Anaco Airport,9.43,-64.47083333
AAQ,Vityazevo,44.9,37.31666667
AAQ,Vityazevo,45.00222222,37.34722222
AAQ,Anapa Airport,45.00222222,37.34722222
AAQ,Vityazevo,45.00222222,37.34722222
AAR,Tirstrup,56.31027778,10.61805556
AAR,Tirstrup,56.30388889,10.62
AAR,Aarhus Airport,56.3,10.61888889
AAR,Aarhus Airport,56.30416667,10.61944444
AAU,Asau W Sam,-13.51666667,-172.65
AAX,Araxa Airport,-19.56805556,-46.92916667
AAX,Araxa Airport,-19.56333333,-46.96027778
AAX,Romeu Zema,-19.56333333,-46.96027778
AAX,Romeu Zema,-19.56333333,-46.96055556
ABD,Abadan Airport,30.36611111,48.23222222
ABD,Abadan Airport,30.36611111,48.23222222
ABD,Abadan Airport,30.36527778,48.23305556
ABE,Lehigh Valley International,40.65472222,-75.43833333
ABE,Lehigh Valley International,40.65222222,-75.44027778
ABE,Lehigh Valley International,40.65222222,-75.44055556
ABE,Lehigh Valley International,40.65222222,-75.44027778
ABE,Lehigh Valley International,40.65222222,-75.44055556
ABE,Lehigh Valley International,40.6525,-75.44027778
ABE,Lehigh Valley International,40.65166667,-75.44277778
ABI,Abilene Regional,32.40944444,-99.67972222
ABI,Abilene Regional,32.41111111,-99.68166667
ABI,Abilene Regional,32.41138889,-99.68194444
ABI,Abilene Regional,32.40833333,-99.6825
ABJ,Abidjan Felix Houphouet Boigny International,5.25555556,-3.92916667
ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
ABJ,Abidjan Felix Houphouet Boigny International,5.26138889,-3.92583333
ABJ,Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
ABK,Kabri Dar Airport,6.73388889,44.26611111
ABK,Kebri Dahar,6.73277778,44.24166667
ABK,Kebri Dahar,6.73277778,44.24138889
ABK,Kebri Dahar,6.73277778,44.24166667
ABK,Kebri Dahar,6.73277778,44.24138889
ABL,Ambler River,67.0875,-157.84583333
ABQ,Albuquerque International Sunport,35.04166667,-106.60638889
ABQ,Albuquerque International Sunport,35.04027778,-106.60916667
ABQ,Albuquerque International Sunport,35.03888889,-106.60833333
ABQ,Albuquerque International Sunport,35.04027778,-106.60916667
ABQ,Albuquerque International Sunport,35.03888889,-106.60833333
ABQ,Albuquerque International Sunport,35.03805556,-106.61
ABR,Aberdeen Regional,45.44972222,-98.42166667
ABR,Aberdeen Regional,45.44916667,-98.42194444
ABR,Aberdeen Regional,45.44833333,-98.4225
ABR,Aberdeen Regional,45.44666667,-98.4225
ABR,Aberdeen Regional,45.44916667,-98.42194444
ABR,Aberdeen Regional,45.44666667,-98.4225
ABR,Aberdeen Regional,45.44666667,-98.42305556
ABS,Abu Simbel Airport,22.37222222,31.61527778
ABS,Abu Simbel Airport,22.37472222,31.60944444
ABS,Abu Simbel Airport,22.37583333,31.61166667
ABS,Abu Simbel Airport,22.37472222,31.60944444
ABS,Abu Simbel Airport,22.37583333,31.61166667
BBH,Al-Baha Airport,20.29611111,41.63416667
ABT,Al-Baha Airport,20.29611111,41.63416667
ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
ABT,Al Baha,20.29611111,41.63416667
ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
ABT,King Saud Bin Abdulaziz,20.29833333,41.63583333
ABV,Abuja Nnamdi Azikiwe International,9.00555556,7.26611111
ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
ABX,Albury Airport,-36.06833333,146.97666667
ABX,Albury Airport,-36.06777778,146.95805556
ABY,Southwest Georgia Regional,31.53222222,-84.19611111
ABY,Southwest Georgia Regional,31.53555556,-84.19444444
ABZ,Aberdeen Dyce,57.20416667,-2.19861111
ABZ,Aberdeen Dyce,57.20194444,-2.19777778
ABZ,Aberdeen Dyce,57.2025,-2.19805556
ABZ,Aberdeen Dyce,57.20361111,-2.19916667
ABZ,Aberdeen Dyce,57.20194444,-2.19777778
ABZ,Aberdeen Dyce,57.20361111,-2.19916667
ACA,General Juan N Alvarez International,16.75555556,-99.76694444
ACA,General Juan N Alvarez International,16.75694444,-99.75388889
ACA,Acapulco International,16.75722222,-99.75388889
ACB,Antrim County,44.98472222,-85.19916667
ACB,Antrim County,44.98861111,-85.19833333
ACC,Accra Kotoka International,5.59527778,-0.17083333
ACC,Accra Kotoka International,5.60444444,-0.1675
ACC,Kotoka International,5.60444444,-0.1675
ACC,Kotoka International,5.605,-0.16722222
ACE,Lanzarote,28.9425,-13.60472222
ACE,Lanzarote,28.94555556,-13.60527778
ACH,St Gallen Altenrhein,47.48527778,9.56
ACH,St Gallen Altenrhein,47.485,9.56
ACI,Alderney Airport,49.70694444,-2.21527778
ACI,Alderney Airport,49.70611111,-2.21472222
ACI,Alderney Airport,49.70666667,-2.21444444
ACI,Alderney Airport,49.70666667,-2.21472222
ACI,Alderney Airport,49.70611111,-2.21472222
ACI,Alderney Airport,49.70666667,-2.21472222
ACI,Alderney Airport,49.70694444,-2.21472222
ACK,Nantucket Memorial,41.25666667,-70.05972222
ACK,Nantucket Memorial,41.25305556,-70.06027778
ACK,Nantucket Memorial,41.25305556,-70.06
ACK,Nantucket Memorial,41.25305556,-70.06027778
ACK,Nantucket Memorial,41.25305556,-70.06
ACK,Nantucket Memorial,41.25333333,-70.06055556
ACT,Waco Regional,31.61138889,-97.22861111
ACT,Waco Regional,31.61222222,-97.23027778
ACT,Waco Regional,31.60416667,-97.22972222
ACU,Achutupo Airport,8.43333333,-77.96666667
ACV,Arcata,40.97916667,-124.1075
ACV,Arcata,40.97805556,-124.10861111
ACV,Arcata,40.97777778,-124.10833333
ACV,California Redwood Coast Humboldt County,40.97777778,-124.10833333
ACV,Arcata,40.97805556,-124.10861111
ACV,California Redwood Coast Humboldt County,40.97777778,-124.10833333
ACY,Nafec Atlantic City,39.45611111,-74.57805556
ACY,Nafec Atl,39.45666667,-74.57777778
ACY,Atlantic City International,39.4575,-74.57805556
ACY,Atlantic City International,39.4575,-74.57722222
ACY,Atlantic City International,39.45916667,-74.57861111
ADA,Adana Sakirpasa,36.98361111,35.28083333
ADA,Adana International,36.98222222,35.28027778
ADA,Adana International,36.98222222,35.28055556
ADB,Adnan Menderes,38.29472222,27.16
ADB,Adnan Menderes,38.29222222,27.15583333
ADC,Andakombe Airport,-7.13611111,145.74416667
ADC,Andakombe Airport,-7.13638889,145.74388889
ADC,Andakombe Airport,-7.13722222,145.745
ADD,Haile Selassie I International,8.97805556,38.79944444
ADD,Bole International,8.97805556,38.79944444
ADD,Bole International,8.97805556,38.79916667
ADE,Aden International,12.82777778,45.03055556
ADE,Aden International,12.83444444,45.02888889
ADE,Aden International,12.82944444,45.02888889
ADE,Aden International,12.82833333,45.03138889
ADJ,King Abdullah Ben,31.97222222,35.99
ADJ,Marka International,31.97222222,35.99
ADJ,Marka International,31.97277778,35.99166667
ADK,Adak NS,51.88277778,-176.64472222
ADK,Adak,51.87805556,-176.64611111
ADK,Adak,51.87805556,-176.64583333
ADK,Adak,51.88361111,-176.6425
ADK,Adak,51.87805556,-176.64611111
ADK,Adak,51.88361111,-176.6425
ADL,Adelaide International,-34.94833333,138.53472222
ADL,Adelaide International,-34.945,138.53055556
ADL,Adelaide International,-34.9475,138.53333333
ADM,Ardmore Municipal,34.30305556,-97.01972222
ADM,Ardmore Municipal,34.30416667,-97.02055556
ADM,Ardmore Municipal,34.30388889,-97.02055556
ADM,Ardmore Municipal,34.30416667,-97.02055556
ADM,Ardmore Municipal,34.30388889,-97.02055556
ADM,Ardmore Municipal,34.30305556,-97.02111111
ADN,Andes Airport,5.66666667,-75.88333333
ADN,Andes Airport,5.69805556,-75.87972222
ADN,Andes Airport,5.69777778,-75.88027778
ADN,Andes Airport,5.69805556,-75.87972222
ADN,Andes Airport,5.69777778,-75.88027778
ADO,Andamooka Airport,-30.43777778,137.13722222
ADQ,Kodiak Airport,57.75,-152.49388889
ADQ,Kodiak Airport,57.74972222,-152.49388889
ADQ,Kodiak Airport,57.75,-152.49388889
ADQ,Kodiak Airport,57.74972222,-152.49388889
ADS,Addison,32.96833333,-96.83611111
ADS,Addison,32.96861111,-96.83638889
