dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ABE,817,71,4336,272,121,96,77,46,38,28,21,19,18,12,10,9,4,5,41
ABI,360,15,1757,112,68,51,22,25,20,15,11,10,6,8,2,1,3,0,6
ABQ,5195,174,24094,1975,1039,650,411,285,214,131,100,73,68,37,35,28,22,28,99
ABR,133,6,728,38,15,14,11,8,8,9,7,4,1,0,4,0,2,1,11
ABY,163,7,765,45,23,17,21,7,8,9,6,3,3,4,0,2,0,2,13
ACK,283,46,1675,88,45,29,22,17,17,13,12,1,6,7,4,1,3,3,15
ACT,224,30,1087,54,36,38,20,19,15,14,4,7,3,5,0,2,3,1,3
ACV,357,28,1737,97,72,37,35,24,10,16,11,12,5,6,1,3,5,5,18
ACY,668,58,3049,206,122,89,64,42,24,25,25,8,15,13,9,2,8,1,15
ADK,9,8,104,2,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0
ADQ,118,28,816,43,20,18,12,8,6,1,0,4,1,1,1,1,0,1,1
AEX,276,36,1966,78,50,36,25,19,12,17,12,6,2,2,5,3,2,2,5
AGS,738,96,4022,207,109,86,62,39,44,24,23,18,19,12,11,14,5,7,58
AKN,33,NA,NA,16,9,3,2,1,2,0,0,0,0,0,0,0,0,0,0
ALB,3017,150,12044,1040,628,350,246,157,135,85,79,65,43,33,28,24,21,15,68
ALW,71,17,543,21,17,11,6,5,4,2,2,2,0,0,0,0,0,1,0
AMA,1092,63,5086,383,218,149,97,62,49,29,20,18,11,17,6,8,3,4,18
ANC,3842,294,18545,1688,822,421,275,174,104,77,55,35,31,30,19,18,20,13,60
APN,116,18,629,24,17,12,5,11,6,10,2,4,5,1,2,4,1,2,10
ASE,1883,337,7891,453,304,208,176,153,127,83,77,30,47,31,23,20,13,21,117
ATL,59374,3579,341825,20795,10683,6526,4445,3139,2364,1770,1394,1156,924,831,671,596,499,406,3175
ATW,1310,106,6263,377,210,169,119,88,64,57,48,28,24,19,16,10,13,8,60
AUS,18615,815,85345,6778,3601,2225,1447,1000,757,569,409,302,264,217,205,143,120,95,483
AVL,2194,367,12086,679,370,272,175,126,108,74,73,52,41,23,18,20,15,21,127
AVP,439,16,1593,119,91,53,40,28,26,11,13,7,8,7,8,5,3,2,18
AZA,1027,46,5885,388,171,122,65,49,37,36,23,18,10,12,10,3,6,8,69
AZO,199,16,1005,41,24,31,21,20,10,12,6,4,5,10,3,3,2,0,7
BDL,5305,277,22304,1858,1034,614,412,301,224,189,122,97,83,56,52,35,38,32,158
BET,130,8,726,57,23,15,13,7,4,1,2,1,0,0,3,1,1,1,1
BFF,100,13,627,25,26,7,12,5,5,1,1,5,2,2,0,2,2,0,5
BFL,515,16,2683,160,74,71,43,44,28,26,11,8,11,6,4,1,6,1,21
BGM,47,11,367,19,4,9,3,2,2,3,1,0,1,1,0,0,0,0,2
BGR,815,149,4636,230,145,115,81,63,44,29,16,13,13,10,5,11,1,2,37
BHM,3632,205,17236,1265,726,459,293,206,145,104,88,64,46,43,38,25,23,12,95
BIH,74,18,274,24,10,7,6,2,2,5,6,2,2,2,1,0,0,0,5
BIL,781,24,4147,249,152,115,63,61,34,22,18,14,9,5,9,9,1,3,17
BIS,700,34,3976,226,118,85,76,52,37,22,16,13,15,7,8,2,4,1,18
BJI,126,6,730,29,20,11,13,6,10,7,2,4,2,4,2,2,1,3,10
BLI,431,14,2543,185,66,52,41,13,22,14,10,7,4,1,2,3,1,1,9
BLV,236,24,1096,72,41,28,21,17,10,5,7,2,2,3,1,2,2,4,19
BMI,290,24,1750,92,60,32,23,18,12,10,12,7,8,1,0,2,1,0,12
BNA,20689,1211,100213,7779,4057,2452,1526,1082,839,586,416,370,296,221,187,146,120,85,527
BOI,4275,125,22864,1578,838,536,347,240,174,139,78,73,61,36,41,22,16,17,79
BOS,32483,2050,143491,9561,5824,4066,2891,2172,1591,1253,947,707,596,479,371,284,249,216,1276
