month,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,121939,20389,547271,40155,22207,14239,9613,6919,5367,4220,3222,2606,2140,1737,1397,1100,925,792,5300
2,79987,3002,519221,30886,15250,8942,5827,4127,3070,2227,1762,1302,1116,899,665,539,419,333,2623
3,122198,5120,591767,41741,23008,14756,9971,7034,5171,4013,3053,2320,1763,1412,1157,1016,761,699,4323
4,109219,4035,582185,38641,20475,12811,8497,5988,4516,3476,2625,2111,1630,1328,1052,910,712,585,3862
5,154248,8244,609743,47785,27718,18072,12563,9351,7335,5632,4351,3495,2936,2304,1937,1580,1360,1064,6765
6,152654,7876,611132,50515,28209,18024,12371,9153,6686,5207,4000,3164,2540,1951,1546,1332,1092,868,5996
7,181716,18372,634613,53502,31827,21317,15272,11349,8889,6763,5437,4325,3623,2974,2530,2054,1679,1322,8853
8,139628,12714,619025,44683,25338,16642,11590,8490,6398,4852,3777,3005,2378,1850,1545,1269,1040,895,5876
9,87286,3499,582622,33243,16929,10155,6802,4748,3266,2440,1894,1335,1093,885,674,538,413,355,2516
10,82864,6284,615497,33300,16106,9349,5973,4188,2920,2200,1641,1274,952,797,562,504,400,328,2370
11,82519,2629,575404,31290,15669,9540,6286,4529,3254,2459,1760,1416,1087,864,709,527,460,333,2336
12,126874,4151,590581,44246,23701,14686,9971,7274,5317,4113,3100,2381,1832,1488,1218,1040,858,718,4931
