origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ABE,689,71,4337,186,109,70,46,43,30,29,25,15,19,13,8,13,12,4,67
ABI,273,15,1757,90,45,21,23,20,15,11,8,11,1,5,3,2,3,3,12
ABQ,4183,196,24092,1599,783,496,282,243,152,99,86,76,49,48,34,40,24,16,156
ABR,122,6,728,28,15,14,8,9,5,6,5,2,0,1,0,6,1,3,19
ABY,144,7,765,26,23,16,9,11,12,4,4,6,5,3,0,5,2,2,16
ACK,316,92,1675,63,58,34,25,20,19,6,15,9,9,8,5,9,4,6,26
ACT,225,27,1087,50,36,26,17,24,11,14,1,8,6,4,6,2,7,1,12
ACV,336,33,1737,90,37,48,28,17,12,6,8,17,10,8,3,2,4,4,42
ACY,562,56,3052,174,109,73,45,28,23,15,21,15,11,7,5,6,5,4,21
ADK,17,8,104,6,3,3,2,0,1,0,0,0,0,1,0,0,0,1,0
ADQ,118,17,816,40,21,14,13,5,6,3,2,3,1,1,0,0,2,1,6
AEX,325,33,1966,75,38,31,30,20,11,17,9,13,9,7,5,3,6,8,43
AGS,797,86,4022,221,102,74,69,43,41,35,26,29,21,22,15,11,13,8,67
AKN,24,NA,NA,15,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0
ALB,2258,154,12042,793,417,225,151,106,100,81,55,34,43,28,24,27,17,13,144
ALW,49,18,544,17,10,6,4,5,1,2,0,1,1,0,0,0,0,1,1
AMA,828,65,5086,243,141,118,44,47,39,27,36,24,16,15,13,5,10,7,43
ANC,2968,277,18543,1198,629,352,227,141,103,42,47,43,20,20,23,11,14,9,89
APN,108,20,629,13,13,10,4,9,7,5,7,5,5,2,7,2,5,3,11
ASE,2260,516,7888,518,369,276,202,145,121,96,81,73,53,36,39,42,33,20,156
ATL,66820,3410,341910,24449,13140,8064,5191,3536,2583,1911,1481,1186,868,722,554,485,377,262,2011
ATW,1097,115,6259,246,168,113,96,59,63,51,46,28,33,27,11,10,15,12,119
AUS,19109,861,85344,6864,3656,2191,1465,1015,750,574,427,336,246,242,171,161,122,108,781
AVL,2685,377,12082,878,484,280,189,162,99,76,89,64,61,38,33,31,19,21,161
AVP,323,20,1592,85,50,27,27,25,14,10,11,10,8,10,7,3,4,2,30
AZA,805,42,5884,314,145,89,58,53,30,34,13,11,6,8,12,1,3,3,25
AZO,146,16,1005,26,19,17,11,12,7,10,5,4,6,4,6,3,3,2,11
BDL,4265,300,22302,1528,765,466,314,244,166,125,99,94,59,48,46,39,36,29,207
BET,179,8,726,82,32,18,14,12,6,3,3,1,1,1,2,1,2,0,1
BFF,73,17,627,13,10,15,6,2,6,5,0,4,1,1,1,0,0,2,7
BFL,344,17,2681,80,66,44,34,24,21,15,7,6,3,6,5,3,2,5,23
BGM,39,12,367,11,5,4,3,1,1,1,0,2,0,1,1,0,0,1,8
BGR,744,155,4636,209,143,79,50,43,35,25,23,20,18,12,13,9,4,8,53
BHM,3062,209,17233,987,512,351,264,165,134,102,84,67,55,43,43,30,35,25,165
BIH,75,19,274,20,9,11,7,3,5,4,3,2,2,2,1,0,3,1,2
BIL,535,32,4149,142,107,58,48,47,25,20,10,9,7,9,7,5,2,5,34
BIS,655,36,3974,207,99,74,56,36,30,36,17,17,7,4,8,6,5,2,51
BJI,122,7,730,37,8,13,5,11,6,3,4,2,5,2,3,3,1,0,19
BLI,366,17,2544,163,65,37,24,10,14,13,5,2,2,2,5,2,1,3,18
BLV,267,28,1098,67,47,32,30,10,10,7,7,7,1,3,6,3,2,3,32
BMI,257,27,1750,61,42,31,22,22,16,12,6,9,2,3,2,3,1,1,24
BNA,20054,1273,100220,7598,3809,2307,1430,1003,755,569,421,352,319,252,172,149,131,122,665
BOI,3315,135,22859,1218,678,343,250,174,134,97,67,57,51,30,45,26,18,18,109
BOS,28464,2081,143490,8773,5051,3349,2468,1744,1411,1112,833,648,504,436,342,294,235,194,1070
BPT,90,15,730,17,10,11,9,4,4,2,2,3,1,5,2,4,2,1,13
BQK,145,2,795,23,15,17,11,6,12,9,7,7,6,4,10,2,3,3,10
BQN,622,37,2446,196,121,61,50,51,28,14,12,19,7,9,10,4,7,7,26
BRD,91,4,649,24,14,7,8,8,6,5,4,2,2,1,1,1,1,0,7
BRO,303,38,1962,90,52,31,22,28,11,12,11,4,9,2,5,3,3,3,17
BRW,96,19,364,45,24,12,3,2,2,0,3,1,0,0,0,0,1,1,2
BTM,40,NA,NA,7,14,3,3,2,3,1,2,1,0,0,0,1,0,0,3
BTR,893,90,4918,290,134,79,78,60,48,19,27,28,20,16,10,10,7,4,63
BTV,1169,163,8122,308,189,136,90,73,56,54,31,34,24,21,20,12,14,9,98
BUF,3945,492,22166,1340,674,449,328,249,157,123,96,81,60,54,40,47,31,26,190
BUR,5719,354,30636,2033,1094,704,491,347,231,176,139,110,76,58,44,45,27,18,126
BWI,27837,1127,98572,11926,5872,3052,1872,1234,884,645,472,364,287,223,172,141,122,96,475
BZN,1752,82,10203,558,322,203,151,113,75,50,42,37,41,20,18,10,9,6,97
CAE,1023,106,6817,290,184,122,85,50,46,38,25,35,19,16,13,12,13,15,60
CAK,659,44,3476,140,73,66,70,53,42,29,33,26,16,17,18,14,7,3,52
CDC,64,5,629,11,10,6,3,6,5,4,2,2,2,1,2,2,2,0,6
CDV,124,14,726,50,30,14,5,6,6,4,3,0,1,1,0,0,1,1,2
CHA,1262,85,6853,400,219,147,95,75,56,41,35,25,28,21,11,16,7,10,76
CHO,447,72,3203,112,72,43,41,27,25,14,13,11,10,10,4,6,6,4,49
CHS,4547,431,25694,1502,782,502,351,260,199,157,137,105,87,65,50,47,40,33,230
CID,1452,192,8135,414,251,140,117,88,67,60,45,31,33,24,13,18,12,11,128
CIU,140,10,728,23,20,7,9,6,8,5,8,6,6,8,2,2,5,1,24
CKB,71,5,207,20,17,7,3,4,4,1,2,2,3,0,0,3,1,0,4
CLE,7004,707,41106,2238,1323,767,538,415,331,230,189,154,117,92,88,77,58,52,335
CLL,198,28,1122,54,27,17,21,7,7,5,9,3,7,3,11,1,5,3,18
CLT,56724,2977,217555,17698,10187,6822,4854,3571,2774,2036,1630,1298,1024,789,649,526,397,330,2139
CMH,6709,481,42272,2350,1213,759,527,374,292,227,156,134,117,79,69,56,41,45,270
