index,originId,destId,count,delaycount
0,10135,10397,1017,158
1,10135,10693,105,20
2,10135,11057,1166,201
3,10135,11292,86,14
4,10135,11697,81,14
5,10135,13204,68,18
6,10135,13360,105,17
7,10135,13577,188,17
8,10135,13930,315,75
9,10135,14082,197,43
10,10135,14112,261,34
11,10135,14761,642,126
12,10135,14986,106,23
13,10136,11298,1757,288
14,10140,10397,953,107
15,10140,10423,730,137
16,10140,10800,331,90
17,10140,10821,396,117
18,10140,11259,1695,339
19,10140,11292,2822,499
20,10140,11298,2460,589
21,10140,12191,962,166
22,10140,12266,508,63
23,10140,12478,259,121
24,10140,12889,2113,446
25,10140,12892,2301,283
26,10140,12954,293,66
27,10140,13198,345,70
28,10140,13204,75,29
29,10140,13232,505,68
30,10140,13487,244,12
31,10140,13796,346,21
32,10140,13930,828,137
33,10140,14057,8,4
34,10140,14107,3243,559
35,10140,14679,607,152
36,10140,14683,18,6
37,10140,14747,415,95
38,10140,14771,581,106
39,10140,14869,1054,97
40,10141,13487,728,128
41,10146,10397,765,151
42,10154,10721,209,48
43,10154,11057,11,2
44,10154,11278,301,69
45,10154,12197,232,45
46,10154,12478,357,98
47,10154,12953,452,107
48,10154,13930,38,16
49,10154,14100,75,23
50,10155,11298,1087,252
51,10157,11292,318,61
52,10157,12892,366,56
53,10157,14771,1053,252
54,10158,11697,589,161
55,10158,13204,935,165
56,10158,13577,311,73
57,10158,14027,361,62
58,10158,14635,460,78
59,10158,15304,396,79
60,10165,10299,104,25
61,10170,10299,816,135
62,10185,10397,878,129
63,10185,11298,1088,229
64,10208,10397,2172,428
65,10208,10423,5,4
66,10208,10721,13,5
67,10208,11057,1021,255
68,10208,11278,359,63
69,10208,11298,373,105
70,10208,11433,9,1
72,10208,12953,28,8
74,10208,13303,9,1
75,10208,13930,12,4
77,10208,14100,13,5
79,10245,10299,178,25
80,10257,10397,1011,209
81,10257,10693,108,24
82,10257,10821,1645,325
83,10257,11057,1206,303
84,10257,11278,1208,231
85,10257,11292,189,61
86,10257,11298,350,65
87,10257,11433,1304,198
88,10257,11618,133,8
89,10257,11697,396,101
90,10257,12889,77,25
91,10257,12953,654,79
92,10257,13204,1084,281
93,10257,13232,712,150
94,10257,13303,21,2
95,10257,13577,110,28
96,10257,13930,1271,171
97,10257,14082,138,45
98,10257,14112,126,31
99,10257,14635,5,2
100,10257,14761,91,19
101,10257,15304,203,54
102,10275,14747,544,67
103,10279,10423,231,31
104,10279,11259,1275,163
105,10279,11292,614,127
106,10279,11298,2421,441
107,10279,12191,49,6
108,10279,12266,130,21
109,10279,12889,366,104
110,10299,10165,104,17
111,10299,10170,816,146
112,10299,10245,178,33
113,10299,10397,109,70
114,10299,10551,726,138
115,10299,10754,363,108
116,10299,10926,363,82
117,10299,11292,603,95
118,10299,11298,381,97
119,10299,11336,110,11
120,10299,11433,45,23
121,10299,11618,103,40
122,10299,11630,791,114
123,10299,12173,366,48
124,10299,12264,103,24
125,10299,12266,126,24
126,10299,12478,68,7
127,10299,12523,1218,164
128,10299,12758,92,20
129,10299,12889,117,13
130,10299,12892,348,65
131,10299,13487,655,117
132,10299,13830,34,10
133,10299,13873,364,72
134,10299,13930,783,167
135,10299,13970,304,39
136,10299,14057,358,53
137,10299,14107,353,49
138,10299,14679,20,2
139,10299,14709,570,74
140,10299,14747,7587,1252
141,10299,14771,264,52
142,10299,14869,121,19
143,10333,11433,629,128
144,10372,10397,458,210
145,10372,10423,157,60
146,10372,11292,2852,883
147,10372,11298,1162,373
148,10372,12266,661,283
149,10372,12892,1169,387
150,10372,13930,996,383
151,10372,14107,100,45
152,10372,14771,333,152
153,10397,10135,1017,140
154,10397,10140,953,133
155,10397,10146,765,170
156,10397,10185,878,126
157,10397,10208,2172,360
158,10397,10257,1011,221
159,10397,10299,109,34
160,10397,10372,459,107
161,10397,10408,369,63
162,10397,10423,4311,930
163,10397,10431,2162,367
164,10397,10529,2130,383
165,10397,10599,2963,496
166,10397,10685,731,107
167,10397,10693,3685,641
168,10397,10713,474,65
169,10397,10721,5025,1265
170,10397,10731,795,180
171,10397,10781,1515,227
172,10397,10785,366,65
173,10397,10792,1337,281
174,10397,10800,207,43
175,10397,10821,6067,1547
176,10397,10849,363,47
177,10397,10868,2231,326
178,10397,10980,2392,376
179,10397,10990,1123,144
180,10397,10994,2792,469
181,10397,11003,368,62
182,10397,11042,3006,691
183,10397,11057,5383,1022
184,10397,11066,3080,543
185,10397,11109,459,99
186,10397,11146,1069,248
187,10397,11150,1001,199
188,10397,11193,2831,483
189,10397,11252,1445,240
190,10397,11259,3545,772
191,10397,11267,1354,193
192,10397,11278,6868,1457
193,10397,11292,6076,1348
194,10397,11298,6523,1757
195,10397,11308,766,142
196,10397,11423,1185,173
197,10397,11433,4958,1147
198,10397,11481,2375,376
199,10397,11503,179,26
200,10397,11540,714,145
201,10397,11612,1001,156
202,10397,11618,6051,1525
203,10397,11624,1480,252
204,10397,11638,204,51
205,10397,11641,871,152
206,10397,11697,7702,2149
207,10397,11775,369,79
208,10397,11823,1019,214
209,10397,11884,471,85
210,10397,11953,1692,260
211,10397,11973,1240,188
212,10397,11977,366,88
213,10397,11986,1406,259
214,10397,11995,2517,363
215,10397,11996,3123,508
216,10397,12007,732,94
217,10397,12094,109,14
218,10397,12124,189,37
219,10397,12173,366,52
220,10397,12191,3228,638
221,10397,12197,1867,299
222,10397,12217,2407,391
223,10397,12264,3266,569
224,10397,12266,4572,1049
225,10397,12278,1039,153
226,10397,12323,1292,166
227,10397,12339,3246,574
228,10397,12391,43,14
229,10397,12441,219,51
230,10397,12448,2824,424
231,10397,12451,4528,1080
232,10397,12478,3538,913
233,10397,12889,4965,1239
234,10397,12892,5241,1307
235,10397,12945,2092,310
236,10397,12951,1071,177
237,10397,12953,8109,1934
238,10397,12992,2232,331
239,10397,13198,3283,628
240,10397,13204,8935,2444
241,10397,13230,996,144
242,10397,13232,3814,864
243,10397,13244,3333,597
244,10397,13277,1399,229
245,10397,13303,6699,1840
246,10397,13342,2483,446
247,10397,13360,1392,244
248,10397,13367,730,124
249,10397,13377,869,146
250,10397,13422,1495,231
251,10397,13485,1019,148
252,10397,13487,3701,686
253,10397,13495,4602,1059
254,10397,13502,103,5
255,10397,13577,1387,213
256,10397,13795,852,101
257,10397,13796,157,54
258,10397,13830,41,11
259,10397,13851,2029,341
260,10397,13871,2010,351
261,10397,13891,917,200
262,10397,13930,5668,1231
263,10397,13931,2502,561
264,10397,14027,4199,1016
265,10397,14057,1355,245
266,10397,14100,5820,1393
267,10397,14107,3680,777
268,10397,14122,2851,501
269,10397,14193,2588,434
270,10397,14262,124,13
271,10397,14307,1004,219
272,10397,14321,508,98
273,10397,14492,4757,926
274,10397,14524,3089,644
275,10397,14570,167,45
276,10397,14574,1097,166
277,10397,14576,1011,225
278,10397,14635,3290,738
279,10397,14679,2428,475
280,10397,14683,2986,598
281,10397,14685,2835,501
282,10397,14689,208,40
283,10397,14696,1029,247
284,10397,14730,2847,482
285,10397,14747,3537,684
286,10397,14771,3125,905
287,10397,14783,1178,199
288,10397,14814,1337,206
289,10397,14831,818,107
290,10397,14843,2117,476
291,10397,14869,2984,570
292,10397,14893,961,133
293,10397,14908,1011,224
294,10397,14986,2682,595
295,10397,15016,3426,665
296,10397,15024,646,92
297,10397,15027,120,20
298,10397,15096,1055,230
299,10397,15249,2035,302
300,10397,15304,6767,1764
301,10397,15323,1428,195
302,10397,15356,226,63
303,10397,15370,1565,230
304,10397,15376,791,126
305,10397,15380,30,6
306,10397,15412,2623,422
307,10397,15607,781,135
308,10397,15624,2287,369
309,10397,15919,1817,250
310,10408,10397,369,44
